Name,Gender
Florencio Fernández,Male
Bai Baoshan,Male
Maurizio Minghella,Male
Alexander Labutkin,Male
Luis Garavito,Male
Pedro López,Male
Javed Iqbal,Male
Mikhail Popkov,Male
Daniel Camargo Barbosa,Male
Pedro Rodrigues Filho,Male
Kampatimar Shankariya,Male
Yang Xinhai,Male
Samuel Little,Male
Giuseppe Greco,Male
Andrei Chikatilo,Male
Anatoly Onoprienko,Male
Ivan Maleshoff,Male
Florisvaldo de Oliveira,Male
Willy Pickton,Male
Gary Ridgway,Male
Alexander Pichushkin,Male
Wang Qiang,Male
Ahmad Suradji,Male
Raman Raghav,Male
Tiago Henrique Gomes da Rocha,Male
Moses Sithole,Male
Serhiy Tkach,Male
Gennady Mikhasevich,Male
Hadj Mohammed Mesfewi,Male
Vera Renczi,Female
Ted Bundy,Male
Clementine Barnabet,Female
John Wayne Gacy,Male
Ali Asghar Borujerdi,Male
Vasili Komaroff,Male
Fernando Hernández Leyva,Male
Ramadan Abdel Rehim Mansour,Male
Radik Tagirov,Male
Charlie Brandt,Male
Robert Black,Male
Max Gufler,Male
Ernesto Picchioni,Male
Baekuni,Male
Igor Chernat,Male
Ricky Lee Green,Male
Robert Hicks Murray,Male
Dallen Bounds,Male
Stephen Port,Male
Robert Maudsley,Male
Sharon Kinne,Female
Ted Kaczynski,Male
Robert Ben Rhoades,Male
Peter Tobin,Male
Pedro Padilla Flores,Male
Billy Glaze,Male
Bertha Gifford,Female
Bernhard Prigan,Male
Stephen Griffiths,Male
Koos Hertogs,Male
Chisako Kakehi,Female
Dorothea Puente,Female
Patrick Mackay,Male
Leonarda Cianciulli,Female
Özkan Zengin,Male
Albert Fish,Male
Heriberto Seda,Male
John Martin,Male
